epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,2236.29,1.1733,1.4558,0.71865,0.8957,0.7687,0.65844,0.7338,0.44346,0.76263,0.65202,0.73471,0.4055,1.43084,1.96472,0.92833,0.97698,0.00107056,0.00107056,0.00107056
31,2312.42,1.20329,1.46391,0.73453,0.89958,0.7687,0.65844,0.7338,0.44346,0.76263,0.65202,0.73471,0.4055,1.43084,1.96472,0.92833,0.97698,0.00106437,0.00106437,0.00106437
32,2385.37,1.1724,1.42357,0.7136,0.9036,0.78048,0.6672,0.73903,0.43662,0.77514,0.66068,0.7348,0.39003,1.44849,2.03521,0.91006,0.98208,0.00105819,0.00105819,0.00105819
33,2461.23,1.18962,1.43799,0.70741,0.90019,0.7244,0.70167,0.73437,0.43685,0.72654,0.69508,0.73338,0.39587,1.45937,2.1036,0.91128,0.9866,0.001052,0.001052,0.001052
34,2533.22,1.18288,1.42629,0.71258,0.89977,0.72968,0.67845,0.73456,0.43854,0.72371,0.66805,0.72517,0.3974,1.44892,2.03387,0.92285,0.9807,0.00104581,0.00104581,0.00104581
35,2608.86,1.18122,1.39251,0.71015,0.88846,0.73449,0.67072,0.72691,0.44153,0.72761,0.66025,0.71472,0.39047,1.44128,2.05593,0.94553,0.97701,0.00103962,0.00103962,0.00103962
36,2683.16,1.19077,1.44624,0.72204,0.90036,0.73449,0.67072,0.72691,0.44153,0.72761,0.66025,0.71472,0.39047,1.44128,2.05593,0.94553,0.97701,0.00103344,0.00103344,0.00103344
37,2758.4,1.19815,1.41476,0.71587,0.89419,0.74788,0.67563,0.73866,0.44357,0.74253,0.66634,0.73301,0.40822,1.44046,2.04333,0.93345,0.97922,0.00102725,0.00102725,0.00102725
38,2836.46,1.17116,1.45626,0.71107,0.89947,0.73764,0.70105,0.74698,0.44517,0.72587,0.68127,0.73003,0.39483,1.46038,2.13388,0.9182,0.98263,0.00102106,0.00102106,0.00102106
39,2920.83,1.176,1.41869,0.70634,0.88826,0.7404,0.68417,0.7473,0.44736,0.72789,0.66916,0.73035,0.38719,1.44575,2.05206,0.90342,0.9797,0.00101488,0.00101488,0.00101488
40,2998.26,1.13132,1.371,0.67427,0.89195,0.81443,0.65371,0.75282,0.45468,0.74597,0.68746,0.74723,0.40454,1.417,2.01642,0.90893,0.9761,0.00100869,0.00100869,0.00100869
41,3070.03,1.15386,1.41825,0.69005,0.90199,0.81443,0.65371,0.75282,0.45468,0.74597,0.68746,0.74723,0.40454,1.417,2.01642,0.90893,0.9761,0.0010025,0.0010025,0.0010025
42,3144.21,1.17144,1.436,0.71557,0.90275,0.7794,0.67268,0.75025,0.44529,0.76505,0.65671,0.73793,0.38929,1.45598,2.10579,0.9263,0.98497,0.000996313,0.000996313,0.000996313
43,3221.32,1.19528,1.44452,0.7292,0.89745,0.76166,0.68172,0.74395,0.44212,0.74555,0.66434,0.72648,0.38605,1.45838,2.03248,0.92416,0.98601,0.000990125,0.000990125,0.000990125
44,3294.91,1.14198,1.4062,0.69373,0.89962,0.79547,0.66819,0.72959,0.4328,0.79038,0.64574,0.71707,0.3823,1.45095,1.92866,0.92371,0.98459,0.000983938,0.000983938,0.000983938
45,3368.09,1.1683,1.41405,0.69173,0.90029,0.76532,0.67497,0.71786,0.41548,0.75426,0.66275,0.71015,0.36709,1.48709,2.00034,0.93532,0.99194,0.00097775,0.00097775,0.00097775
46,3439.96,1.16485,1.39548,0.71313,0.90274,0.76919,0.65749,0.72076,0.41736,0.7522,0.63977,0.70345,0.37061,1.4959,2.06176,0.94102,0.99308,0.000971562,0.000971562,0.000971562
47,3513.87,1.14522,1.37815,0.68353,0.89359,0.76919,0.65749,0.72076,0.41736,0.7522,0.63977,0.70345,0.37061,1.4959,2.06176,0.94102,0.99308,0.000965375,0.000965375,0.000965375
48,3588.22,1.18009,1.43902,0.6971,0.9057,0.805,0.65346,0.72309,0.42919,0.79323,0.64233,0.7143,0.38371,1.46837,2.01522,0.93289,0.98834,0.000959187,0.000959187,0.000959187
49,3661.29,1.16823,1.4207,0.69054,0.90153,0.7614,0.67701,0.72727,0.43641,0.73834,0.66827,0.72179,0.39617,1.43593,1.94884,0.9262,0.9814,0.000953,0.000953,0.000953
50,3737.2,1.13972,1.39787,0.6671,0.88965,0.7958,0.66856,0.74141,0.44045,0.79858,0.66022,0.73349,0.39574,1.44725,1.95722,0.92147,0.98492,0.000946812,0.000946812,0.000946812
51,3820.53,1.17531,1.40454,0.6854,0.89908,0.80375,0.65703,0.74282,0.44498,0.77601,0.67232,0.74722,0.40441,1.43139,1.90792,0.90881,0.98343,0.000940625,0.000940625,0.000940625
52,3897.8,1.16543,1.42796,0.70149,0.89757,0.80375,0.65703,0.74282,0.44498,0.77601,0.67232,0.74722,0.40441,1.43139,1.90792,0.90881,0.98343,0.000934438,0.000934438,0.000934438
53,3971.08,1.15031,1.39776,0.67792,0.89951,0.79806,0.66848,0.74169,0.43799,0.80664,0.66579,0.74187,0.39856,1.452,1.97312,0.90498,0.99374,0.00092825,0.00092825,0.00092825
54,4043.46,1.14388,1.4179,0.68916,0.89966,0.78527,0.66859,0.73606,0.43578,0.78958,0.66844,0.73796,0.39206,1.43846,2.07654,0.91632,0.98952,0.000922063,0.000922063,0.000922063
55,4117.72,1.12024,1.3565,0.67092,0.88447,0.78193,0.6758,0.73019,0.43644,0.78715,0.68116,0.73977,0.4025,1.43612,2.0482,0.91955,0.98773,0.000915875,0.000915875,0.000915875
56,4192.25,1.13958,1.39234,0.67631,0.89056,0.82571,0.63878,0.72967,0.43889,0.79174,0.65667,0.73937,0.40094,1.43353,1.98724,0.91615,0.9841,0.000909688,0.000909688,0.000909688
57,4263.07,1.15088,1.38465,0.68959,0.9047,0.82571,0.63878,0.72967,0.43889,0.79174,0.65667,0.73937,0.40094,1.43353,1.98724,0.91615,0.9841,0.0009035,0.0009035,0.0009035
58,4336.04,1.13136,1.37288,0.67399,0.89198,0.77806,0.64766,0.72446,0.43101,0.76907,0.63649,0.71713,0.38666,1.44994,2.01596,0.91853,0.98662,0.000897313,0.000897313,0.000897313
59,4411.32,1.13813,1.38496,0.67348,0.87809,0.77374,0.65349,0.72135,0.42801,0.76171,0.65079,0.70901,0.38744,1.453,2.07255,0.92154,0.98704,0.000891125,0.000891125,0.000891125
60,4486.05,1.14704,1.39485,0.68133,0.89683,0.7711,0.6502,0.72396,0.42764,0.76195,0.63784,0.713,0.38615,1.44716,2.11884,0.93407,0.98444,0.000884938,0.000884938,0.000884938
61,4561.31,1.15008,1.39379,0.68406,0.88411,0.78803,0.63984,0.73775,0.43079,0.7766,0.62334,0.71817,0.38815,1.46425,2.07725,0.94897,0.98596,0.00087875,0.00087875,0.00087875
62,4632.97,1.12593,1.38506,0.67132,0.89417,0.76383,0.67271,0.73024,0.42715,0.75994,0.66084,0.7233,0.38477,1.45751,1.98803,0.95547,0.98439,0.000872563,0.000872563,0.000872563
63,4703.85,1.12355,1.37879,0.67471,0.89727,0.76383,0.67271,0.73024,0.42715,0.75994,0.66084,0.7233,0.38477,1.45751,1.98803,0.95547,0.98439,0.000866375,0.000866375,0.000866375
64,4779.95,1.09942,1.33952,0.66357,0.88384,0.74571,0.67773,0.73091,0.42694,0.74133,0.66646,0.72699,0.39073,1.44835,2.02436,0.94237,0.98347,0.000860188,0.000860188,0.000860188
65,4856.56,1.12093,1.38783,0.66353,0.88901,0.76234,0.67036,0.725,0.4201,0.75516,0.66058,0.71566,0.38561,1.46081,2.14125,0.93322,0.9862,0.000854,0.000854,0.000854
66,4933.52,1.13966,1.39277,0.66404,0.89243,0.75158,0.66006,0.71524,0.42021,0.74594,0.65207,0.71115,0.38825,1.46936,2.14659,0.94866,0.99189,0.000847813,0.000847813,0.000847813
67,5007.64,1.12577,1.38717,0.66159,0.88503,0.73026,0.65956,0.70894,0.4193,0.72052,0.64894,0.70139,0.37855,1.45679,2.06441,0.9474,0.98944,0.000841625,0.000841625,0.000841625
68,5084.32,1.14668,1.41182,0.67044,0.88384,0.73026,0.65956,0.70894,0.4193,0.72052,0.64894,0.70139,0.37855,1.45679,2.06441,0.9474,0.98944,0.000835438,0.000835438,0.000835438
69,5160.8,1.11609,1.34815,0.65157,0.88402,0.69346,0.65392,0.69142,0.41258,0.675,0.65293,0.68139,0.37102,1.47091,2.05283,0.95152,0.99054,0.00082925,0.00082925,0.00082925
70,5232.51,1.08706,1.33945,0.648,0.88731,0.71771,0.63818,0.69392,0.4162,0.71505,0.6219,0.68824,0.38128,1.454,1.9758,0.94373,0.986,0.000823063,0.000823063,0.000823063
71,5305.66,1.10354,1.34488,0.64988,0.88565,0.71862,0.6662,0.70439,0.42347,0.71348,0.65794,0.70123,0.3889,1.43002,1.96138,0.92292,0.97964,0.000816875,0.000816875,0.000816875
72,5378.54,1.11543,1.36732,0.6534,0.89345,0.73617,0.66245,0.71035,0.42307,0.72594,0.64921,0.70248,0.38775,1.43289,1.98589,0.91506,0.98081,0.000810688,0.000810688,0.000810688
73,5457.01,1.13005,1.35033,0.65494,0.87564,0.73617,0.66245,0.71035,0.42307,0.72594,0.64921,0.70248,0.38775,1.43289,1.98589,0.91506,0.98081,0.0008045,0.0008045,0.0008045
74,5528.73,1.07884,1.31071,0.63577,0.88084,0.77085,0.64741,0.71278,0.42341,0.76055,0.63466,0.70329,0.38163,1.45033,2.01173,0.92251,0.98347,0.000798313,0.000798313,0.000798313
75,5601.55,1.12493,1.36852,0.66447,0.89095,0.75549,0.66255,0.71689,0.42911,0.74601,0.65235,0.71438,0.38822,1.44152,1.95237,0.94104,0.98052,0.000792125,0.000792125,0.000792125
