epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
117,8687.5,1.07541,1.3057,0.6136,0.87568,0.7993,0.6562,0.72051,0.41794,0.79635,0.65237,0.71693,0.38092,1.45704,2.06534,0.90011,0.99484,0.00053225,0.00053225,0.00053225
118,8759.95,1.03808,1.27703,0.60797,0.86931,0.78928,0.6402,0.71096,0.41189,0.79068,0.63735,0.70659,0.3761,1.46887,2.07431,0.90855,0.99498,0.000526063,0.000526063,0.000526063
119,8833.64,1.04289,1.27402,0.60425,0.86642,0.81658,0.62336,0.71258,0.41612,0.79287,0.62898,0.71182,0.38507,1.47378,2.08394,0.91441,0.99546,0.000519875,0.000519875,0.000519875
120,8906.39,1.0365,1.29799,0.60493,0.86692,0.74487,0.67096,0.71356,0.41727,0.74138,0.6656,0.71296,0.3873,1.47558,2.10019,0.91607,0.99338,0.000513688,0.000513688,0.000513688
121,8977.58,1.04448,1.27939,0.6041,0.87794,0.74487,0.67096,0.71356,0.41727,0.74138,0.6656,0.71296,0.3873,1.47558,2.10019,0.91607,0.99338,0.0005075,0.0005075,0.0005075
122,9050.87,1.05557,1.30015,0.60638,0.875,0.77463,0.65786,0.72057,0.41816,0.76401,0.64627,0.71099,0.3796,1.47839,2.13266,0.91231,0.99495,0.000501313,0.000501313,0.000501313
123,9121.67,1.0639,1.33748,0.60025,0.88704,0.78359,0.64974,0.72077,0.41803,0.72926,0.67944,0.71648,0.37807,1.47835,2.12389,0.91566,0.99857,0.000495125,0.000495125,0.000495125
124,9196.59,1.04612,1.28605,0.59178,0.8801,0.75468,0.68255,0.72684,0.42786,0.75176,0.68711,0.72945,0.39688,1.46014,2.08407,0.90443,0.99459,0.000488938,0.000488938,0.000488938
125,9268.01,1.02957,1.27916,0.59935,0.87484,0.77822,0.68008,0.72407,0.4291,0.77387,0.67504,0.72809,0.39974,1.4664,2.09682,0.90197,0.99694,0.00048275,0.00048275,0.00048275
126,9342.12,1.06231,1.30694,0.61144,0.87074,0.78367,0.67949,0.72733,0.42638,0.77572,0.66918,0.7217,0.39002,1.47809,2.14159,0.90735,0.99799,0.000476562,0.000476562,0.000476562
127,9417.45,1.04749,1.31015,0.61273,0.8678,0.78367,0.67949,0.72733,0.42638,0.77572,0.66918,0.7217,0.39002,1.47809,2.14159,0.90735,0.99799,0.000470375,0.000470375,0.000470375
128,9493.34,1.06419,1.32163,0.61044,0.8822,0.77213,0.68465,0.73074,0.42775,0.76288,0.67113,0.71849,0.38566,1.4807,2.15277,0.91801,0.99829,0.000464188,0.000464188,0.000464188
129,9580.1,1.04248,1.26196,0.59771,0.87081,0.72952,0.67587,0.71649,0.41669,0.72354,0.66723,0.71092,0.37545,1.47785,2.13853,0.93152,0.99739,0.000458,0.000458,0.000458
130,9661.01,1.06119,1.31166,0.6114,0.8796,0.72506,0.67276,0.70776,0.41041,0.72192,0.66217,0.70128,0.37024,1.46697,2.1189,0.93191,0.99329,0.000451813,0.000451813,0.000451813
131,9736.35,1.03478,1.30643,0.61601,0.87806,0.72332,0.65008,0.69488,0.40061,0.71332,0.63824,0.68488,0.36158,1.47344,2.15008,0.93817,0.99477,0.000445625,0.000445625,0.000445625
132,9818.98,1.04108,1.28747,0.59778,0.8708,0.72332,0.65008,0.69488,0.40061,0.71332,0.63824,0.68488,0.36158,1.47344,2.15008,0.93817,0.99477,0.000439437,0.000439437,0.000439437
133,9895.46,1.04057,1.29689,0.60968,0.87739,0.72664,0.6475,0.69774,0.39728,0.71447,0.63135,0.68284,0.35808,1.49619,2.21318,0.93447,0.99976,0.00043325,0.00043325,0.00043325
134,9974.6,1.0289,1.27927,0.60869,0.88382,0.71191,0.65391,0.69872,0.40044,0.68558,0.65612,0.68408,0.35575,1.50376,2.21757,0.93676,1.00348,0.000427062,0.000427062,0.000427062
135,10055.3,1.06018,1.30945,0.61746,0.87238,0.73794,0.66745,0.70651,0.40775,0.72475,0.65374,0.69426,0.36868,1.48419,2.14578,0.9331,0.99945,0.000420875,0.000420875,0.000420875
136,10136.4,1.02565,1.27652,0.59019,0.87001,0.77519,0.64804,0.70991,0.41433,0.76886,0.63952,0.70393,0.3765,1.46377,2.10983,0.93601,0.99493,0.000414688,0.000414688,0.000414688
137,10218.9,1.00286,1.23946,0.57687,0.85845,0.77519,0.64804,0.70991,0.41433,0.76886,0.63952,0.70393,0.3765,1.46377,2.10983,0.93601,0.99493,0.0004085,0.0004085,0.0004085
138,10299.5,1.02032,1.25795,0.58986,0.86451,0.764,0.65632,0.71011,0.41516,0.75913,0.65002,0.70877,0.38255,1.46398,2.11182,0.93865,0.99534,0.000402312,0.000402312,0.000402312
139,10378.6,1.03824,1.27591,0.60398,0.85975,0.77229,0.66442,0.71505,0.41842,0.76258,0.65939,0.71431,0.38527,1.46803,2.10665,0.92463,0.99555,0.000396125,0.000396125,0.000396125
140,10462.6,1.04188,1.27874,0.60501,0.86507,0.78071,0.65784,0.71313,0.42117,0.76391,0.6493,0.71005,0.38515,1.46472,2.09966,0.92006,0.99412,0.000389938,0.000389938,0.000389938
141,10543,1.05526,1.32285,0.60892,0.87024,0.79214,0.65098,0.7188,0.42491,0.78654,0.64277,0.71733,0.3896,1.45877,2.09274,0.92197,0.99182,0.00038375,0.00038375,0.00038375
142,10622.7,1.0078,1.25159,0.58485,0.86369,0.80178,0.64782,0.7238,0.42408,0.78492,0.64934,0.71729,0.3883,1.46153,2.11366,0.92441,0.99314,0.000377563,0.000377563,0.000377563
143,10705.7,1.02874,1.2481,0.59014,0.86923,0.80178,0.64782,0.7238,0.42408,0.78492,0.64934,0.71729,0.3883,1.46153,2.11366,0.92441,0.99314,0.000371375,0.000371375,0.000371375
144,10782.4,1.0101,1.24614,0.58181,0.87076,0.78054,0.66184,0.72506,0.42472,0.77463,0.65387,0.72072,0.39112,1.46407,2.12908,0.91785,0.99406,0.000365188,0.000365188,0.000365188
145,10860.6,1.03815,1.26669,0.59304,0.87392,0.80117,0.64176,0.72153,0.4212,0.79565,0.63202,0.71471,0.38793,1.4709,2.13433,0.91618,0.9951,0.000359,0.000359,0.000359
146,10941.4,1.01104,1.25481,0.58951,0.86412,0.7806,0.65375,0.71646,0.41881,0.77527,0.64493,0.71215,0.38269,1.47574,2.12948,0.92206,0.99661,0.000352812,0.000352812,0.000352812
